Force,E,v,Start,Displacement
100.000000,1400.000000,0.160000,-0.084535,-0.054424
100.000000,1400.000000,0.170000,-0.083715,-0.053348
100.000000,1400.000000,0.180000,-0.082752,-0.052123
100.000000,1400.000000,0.190000,-0.081641,-0.050744
100.000000,1400.000000,0.200000,-0.080376,-0.049203
100.000000,1400.000000,0.210000,-0.078950,-0.047491
100.000000,1400.000000,0.220000,-0.077355,-0.045601
100.000000,1400.000000,0.230000,-0.075585,-0.043523
100.000000,1400.000000,0.240000,-0.073630,-0.041245
100.000000,1400.000000,0.250000,-0.071480,-0.038756
100.000000,1400.000000,0.260000,-0.069125,-0.036042
100.000000,1400.000000,0.270000,-0.066553,-0.033089
100.000000,1400.000000,0.280000,-0.063750,-0.029878
100.000000,1400.000000,0.290000,-0.060701,-0.026390
100.000000,1400.000000,0.300000,-0.057390,-0.022604
100.000000,1400.000000,0.310000,-0.053796,-0.018493
100.000000,1400.000000,0.320000,-0.049897,-0.014028
100.000000,1400.000000,0.330000,-0.045668,-0.009173
100.000000,1400.000000,0.340000,-0.041079,-0.003887
100.000000,1400.000000,0.350000,-0.036092,0.001878
100.000000,1400.000000,0.360000,-0.030666,0.008184
100.000000,1400.000000,0.370000,-0.024748,0.015102
100.000000,1400.000000,0.380000,-0.018276,0.022722
100.000000,1400.000000,0.390000,-0.011168,0.031159
100.000000,1400.000000,0.400000,-0.003322,0.040559
100.000000,1400.000000,0.410000,0.005395,0.051116
100.000000,1400.000000,0.420000,0.015167,0.063089
100.000000,1400.000000,0.430000,0.026249,0.076845
100.000000,1400.000000,0.440000,0.039017,0.092916
100.000000,1400.000000,0.450000,0.054062,0.112120
100.000000,1400.000000,0.460000,0.072389,0.135810
100.000000,1400.000000,0.470000,0.095932,0.166460
100.000000,1400.000000,0.480000,0.129210,0.209399
100.000000,1400.000000,0.490000,0.187501,0.280314
100.000000,1500.000000,0.000000,-0.009440,0.015112
100.000000,1500.000000,0.010000,-0.010334,0.014438
100.000000,1500.000000,0.020000,-0.011141,0.013850
100.000000,1500.000000,0.030000,-0.011861,0.013349
100.000000,1500.000000,0.040000,-0.012492,0.012937
100.000000,1500.000000,0.050000,-0.013031,0.012616
100.000000,1500.000000,0.060000,-0.013477,0.012388
100.000000,1500.000000,0.070000,-0.013827,0.012256
100.000000,1500.000000,0.080000,-0.014079,0.012223
100.000000,1500.000000,0.090000,-0.014231,0.012290
100.000000,1500.000000,0.100000,-0.014280,0.012461
100.000000,1500.000000,0.110000,-0.014223,0.012740
100.000000,1500.000000,0.120000,-0.014057,0.013129
100.000000,1500.000000,0.130000,-0.013778,0.013632
100.000000,1500.000000,0.140000,-0.013384,0.014254
100.000000,1500.000000,0.150000,-0.012870,0.014999
100.000000,1500.000000,0.160000,-0.012233,0.015871
